node1,node2,label
188,389,1
188,631,1
188,666,1
237,405,1
237,745,1
237,690,1
209,499,1
281,294,1
123,337,1
78,429,1
116,431,1
262,750,1
262,292,1
262,428,1
262,626,1
262,617,1
231,750,1
231,292,1
231,428,1
231,626,1
231,617,1
189,512,1
276,512,1
276,780,1
188,780,1
208,483,1
208,529,1
208,774,1
208,525,1
209,654,1
79,694,1
79,591,1
79,753,1
215,451,1
215,382,1
215,289,1
215,467,1
215,583,1
39,429,1
276,386,1
276,382,1
209,537,1
53,476,1
58,495,1
209,556,1
280,763,1
58,701,1
58,771,1
58,289,1
56,398,1
121,660,1
121,780,1
105,619,1
58,629,1
58,749,1
47,289,1
105,760,1
209,460,1
105,292,1
29,765,1
29,448,1
29,544,1
29,382,1
29,483,1
29,531,1
29,407,1
39,305,1
83,387,1
186,570,1
45,456,1
58,382,1
80,359,1
105,341,1
58,305,1
58,556,1
104,304,1
58,599,1
47,295,1
205,284,1
205,431,1
209,763,1
78,779,1
257,527,1
254,462,1
254,753,1
254,742,1
254,290,1
55,657,1
55,767,1
58,537,1
45,339,1
58,423,1
165,465,1
122,580,1
58,511,1
59,476,1
209,410,1
78,494,1
78,426,1
78,483,1
268,781,1
58,742,1
58,580,1
200,527,1
169,527,1
58,781,1
209,341,1
58,694,1
224,297,1
58,467,1
0,483,1
209,724,1
58,777,1
258,763,1
105,485,1
280,575,1
209,290,1
209,453,1
198,366,1
29,366,1
37,347,1
78,762,1
105,642,1
209,337,1
45,722,1
45,547,1
209,680,1
45,357,1
45,519,1
10,551,1
47,785,1
56,734,1
45,617,1
45,428,1
45,626,1
277,617,1
277,292,1
277,293,1
277,428,1
277,626,1
277,519,1
240,442,1
240,313,1
249,345,1
280,401,1
47,374,1
143,527,1
267,295,1
267,372,1
28,513,1
174,742,1
174,338,1
174,574,1
95,790,1
176,527,1
39,642,1
39,572,1
39,455,1
39,423,1
222,427,1
222,409,1
222,385,1
222,580,1
222,577,1
222,456,1
222,583,1
222,463,1
222,674,1
30,772,1
159,297,1
192,728,1
78,472,1
78,699,1
256,786,1
209,493,1
209,643,1
209,760,1
209,701,1
209,743,1
209,739,1
209,573,1
209,296,1
156,654,1
156,556,1
156,690,1
51,691,1
257,392,1
257,506,1
89,496,1
31,703,1
97,714,1
24,441,1
24,450,1
270,785,1
174,462,1
174,753,1
42,781,1
58,366,1
58,339,1
58,551,1
58,750,1
58,428,1
58,617,1
114,781,1
105,429,1
53,290,1
53,341,1
53,446,1
53,763,1
117,534,1
280,793,1
280,564,1
280,457,1
280,583,1
280,792,1
280,448,1
280,749,1
280,588,1
5,421,1
96,504,1
266,665,1
139,548,1
121,339,1
55,794,1
55,451,1
27,771,1
27,721,1
83,711,1
216,538,1
140,547,1
211,549,1
248,680,1
248,610,1
64,551,1
45,749,1
45,771,1
45,614,1
45,596,1
56,636,1
47,574,1
47,580,1
47,410,1
47,683,1
47,388,1
47,367,1
47,480,1
47,798,1
47,576,1
47,699,1
220,513,1
254,305,1
263,289,1
119,489,1
95,289,1
32,626,1
39,768,1
39,602,1
279,309,1
222,620,1
159,595,1
78,650,1
78,725,1
78,465,1
203,749,1
239,763,1
239,341,1
209,577,1
209,592,1
156,712,1
156,578,1
156,292,1
51,445,1
25,771,1
257,612,1
151,399,1
74,347,1
124,341,1
174,605,1
42,742,1
58,297,1
58,405,1
58,390,1
58,769,1
58,651,1
58,485,1
58,587,1
58,667,1
105,382,1
105,345,1
105,315,1
105,423,1
105,634,1
105,461,1
105,553,1
53,717,1
280,395,1
280,325,1
280,305,1
280,506,1
280,566,1
280,653,1
280,577,1
280,537,1
280,645,1
207,448,1
48,297,1
118,304,1
127,456,1
121,771,1
121,738,1
121,587,1
55,587,1
55,314,1
27,382,1
83,538,1
9,360,1
140,513,1
228,771,1
29,414,1
29,374,1
248,465,1
248,781,1
64,462,1
45,353,1
45,371,1
56,739,1
47,419,1
47,382,1
47,795,1
47,297,1
47,587,1
47,512,1
147,429,1
147,488,1
119,476,1
119,713,1
119,753,1
119,742,1
232,749,1
136,800,1
136,554,1
125,451,1
125,341,1
209,773,1
39,480,1
78,285,1
209,738,1
209,574,1
280,341,1
280,289,1
280,286,1
280,525,1
280,520,1
280,661,1
90,734,1
105,783,1
45,512,1
45,726,1
45,500,1
47,664,1
47,771,1
47,392,1
209,543,1
209,549,1
209,429,1
209,725,1
102,366,1
257,600,1
257,517,1
282,517,1
20,366,1
264,366,1
58,448,1
58,410,1
257,287,1
255,299,1
58,541,1
58,792,1
105,594,1
105,386,1
105,290,1
105,591,1
105,337,1
105,519,1
105,369,1
217,635,1
38,644,1
129,399,1
140,519,1
280,357,1
58,538,1
43,339,1
183,788,1
64,411,1
267,360,1
105,441,1
27,765,1
209,580,1
207,701,1
239,383,1
248,364,1
196,688,1
181,304,1
260,528,1
9,395,1
222,336,1
83,457,1
121,357,1
78,757,1
105,314,1
280,798,1
172,378,1
207,320,1
207,794,1
260,607,1
260,609,1
260,689,1
260,397,1
260,384,1
260,508,1
238,588,1
238,457,1
238,458,1
238,486,1
238,649,1
69,552,1
207,609,1
207,707,1
207,515,1
207,373,1
144,612,1
144,347,1
260,515,1
157,714,1
57,619,1
45,791,1
209,578,1
209,769,1
105,719,1
105,357,1
105,526,1
280,511,1
222,341,1
222,442,1
222,451,1
156,553,1
120,549,1
247,495,1
18,742,1
58,690,1
106,783,1
53,399,1
53,642,1
113,370,1
27,392,1
47,638,1
83,746,1
184,305,1
47,353,1
51,728,1
260,442,1
209,785,1
51,528,1
82,322,1
45,406,1
86,453,1
259,773,1
64,756,1
241,496,1
3,701,1
39,357,1
207,538,1
86,357,1
239,777,1
78,721,1
121,701,1
280,348,1
9,648,1
121,604,1
280,468,1
153,429,1
166,310,1
280,629,1
80,454,1
96,518,1
57,361,1
33,637,1
106,717,1
72,512,1
238,584,1
238,371,1
280,495,1
47,769,1
103,291,1
154,447,1
233,749,1
196,442,1
84,470,1
249,727,1
39,364,1
180,526,1
5,715,1
242,491,1
280,737,1
226,536,1
229,366,1
105,670,1
64,336,1
134,355,1
119,798,1
53,641,1
119,563,1
45,790,1
280,353,1
199,738,1
180,514,1
47,343,1
201,475,1
197,363,1
151,577,1
64,776,1
222,582,1
45,583,1
73,420,1
108,752,1
58,573,1
3,324,1
218,773,1
45,592,1
47,335,1
45,613,1
280,475,1
21,714,1
207,465,1
34,458,1
48,705,1
216,456,1
78,312,1
45,594,1
280,530,1
48,652,1
121,715,1
207,434,1
125,778,1
91,627,1
280,360,1
35,339,1
45,566,1
202,688,1
21,418,1
9,346,1
45,479,1
159,499,1
244,487,1
45,436,1
105,683,1
62,493,1
53,288,1
195,637,1
78,796,1
27,457,1
167,416,1
58,509,1
78,556,1
272,311,1
33,522,1
121,646,1
27,601,1
209,626,1
100,292,1
60,360,1
253,399,1
78,709,1
58,799,1
78,302,1
61,376,1
58,523,1
132,567,1
280,574,1
4,587,1
280,363,1
121,415,1
280,794,1
47,499,1
209,545,1
58,590,1
110,594,1
62,361,1
175,594,1
141,501,1
109,685,1
157,288,1
58,555,1
130,748,1
207,733,1
83,605,1
158,701,1
78,434,1
177,561,1
101,507,1
105,559,1
53,580,1
207,352,1
201,738,1
204,784,1
55,703,1
59,771,1
210,354,1
152,374,1
105,605,1
248,518,1
168,738,1
51,437,1
40,484,1
78,627,1
64,434,1
271,513,1
58,466,1
55,381,1
45,756,1
137,702,1
280,717,1
111,683,1
172,314,1
253,485,1
203,732,1
51,372,1
121,417,1
238,399,1
250,561,1
138,324,1
150,501,1
212,580,1
51,501,1
45,422,1
280,304,1
151,442,1
159,656,1
239,421,1
101,513,1
246,380,1
280,611,1
105,339,1
170,761,1
170,322,1
211,332,1
2,624,1
77,587,1
128,473,1
9,477,1
121,794,1
116,360,1
222,475,1
177,476,1
83,571,1
126,339,1
105,769,1
58,639,1
75,669,1
222,565,1
182,559,1
271,681,1
125,392,1
172,715,1
15,712,1
13,398,1
194,403,1
283,463,1
57,612,1
177,579,1
76,655,1
63,506,1
63,612,1
70,314,1
58,735,1
274,362,1
278,294,1
251,467,1
280,664,1
280,425,1
280,593,1
280,605,1
280,364,1
207,736,1
235,740,1
221,406,1
252,785,1
93,419,1
27,580,1
6,798,1
211,637,1
35,660,1
98,645,1
45,585,1
45,394,1
45,780,1
47,475,1
171,510,1
265,613,1
59,482,1
280,501,1
254,456,1
47,323,1
47,577,1
45,746,1
196,506,1
196,782,1
88,363,1
88,704,1
9,644,1
83,318,1
83,434,1
27,630,1
85,669,1
85,495,1
162,446,1
162,639,1
213,462,1
207,319,1
207,556,1
207,749,1
207,356,1
65,617,1
280,390,1
280,724,1
280,476,1
280,333,1
146,393,1
273,353,1
224,775,1
105,789,1
132,353,1
21,294,1
131,348,1
11,706,1
94,625,1
71,755,1
49,716,1
163,394,1
92,769,1
51,635,1
51,573,1
51,311,1
193,521,1
193,444,1
191,365,1
172,361,1
172,520,1
238,352,1
222,660,1
222,673,1
222,339,1
275,285,1
218,619,1
218,326,1
1,733,1
8,644,1
26,333,1
185,562,1
12,635,1
3,790,1
187,546,1
66,619,1
95,583,1
176,633,1
176,628,1
112,629,1
39,411,1
39,756,1
106,561,1
106,314,1
14,629,1
275,415,1
222,754,1
222,650,1
182,314,1
113,318,1
238,760,1
50,358,1
243,306,1
172,658,1
172,568,1
30,371,1
159,513,1
161,359,1
78,490,1
78,492,1
78,795,1
78,763,1
227,322,1
23,615,1
209,749,1
52,789,1
67,324,1
156,507,1
244,416,1
244,788,1
244,586,1
51,533,1
51,582,1
51,495,1
51,580,1
51,669,1
181,557,1
181,696,1
180,632,1
180,662,1
157,660,1
282,692,1
282,650,1
120,324,1
164,434,1
164,579,1
151,352,1
151,476,1
149,349,1
234,748,1
74,296,1
74,794,1
57,464,1
57,500,1
86,370,1
142,693,1
214,577,1
214,730,1
80,777,1
80,378,1
16,580,1
16,532,1
141,347,1
107,717,1
87,749,1
94,328,1
84,319,1
153,623,1
68,587,1
42,731,1
42,715,1
58,645,1
58,399,1
58,475,1
58,605,1
58,561,1
58,758,1
58,785,1
58,374,1
58,322,1
58,700,1
58,569,1
58,411,1
105,405,1
105,800,1
105,749,1
105,612,1
105,596,1
62,320,1
53,723,1
53,712,1
53,737,1
53,355,1
53,550,1
53,524,1
53,578,1
230,408,1
